English	中文
shared-disk architecture	共享磁盘架构
shared-memory architecture	共享内存架构
shell type	shell 类型
SI	快照隔离
siblings	兄弟
Simple Query Protocol	简单查询协议
skew	倾斜
SLA	服务级别协议
slave	从库
slaves	从库
Smart Shutdown	智能关闭
snapshot isolation	快照隔离
Snapshot Structure	快照结构
Snapshots	快照
sort operator	排序操作符
sort path	排序路径
source of truth	权威数据源
Special Space	特殊空间
speculative insertion	推测插入
spin lock	自旋锁
split brain	脑裂
SQL/MED	SQL 外部数据管理
SR	流复制
SSI	可串行化快照隔离
standby	备库
standby mode	备库模式
standby query consistency	备库查询一致性
standby server	备库
standby servers	备库
standbys	备库
START TIME	开始时间
START TIMELINE	开始时间线
START WAL LOCATION	WAL 起始位置
start-up	启动
startup process	启动进程
state transition functions	状态转移函数
state values	状态值
Statistics	统计信息
stop-the-world	全局暂停
storage parameters	存储参数
streaming	流式传输
Streaming Replication	流复制
Strict Two-Phase Locking	严格两阶段锁协议
strong consistency	强一致性
struct	结构体
sub-partitioning	子分区
subscription	订阅
Subtransactions	子事务
suffix truncation	后缀截断
switch-over	计划内切换
switchover	计划内切换
sync_priority	同步优先级
sync_state	同步状态
System Catalog	系统目录
Table Access Methods	表访问方法
table alias	表别名
table expression	表表达式
Tablespace	表空间
target list	目标列表
temporary tuple storage	临时元组存储
throughput	吞吐量
TID	元组标识符
Timeline History Files	时间线历史文件
TimeLineID	时间线 ID
Token	词元
TOAST	超长属性存储技术（TOAST）
Top-N Heapsort	Top-N 堆排序
total order	全序
total order broadcast	全序广播
transaction	事务
Transaction Horizon	事务视界
transaction id	事务 ID
Transaction ID Wraparound	事务 ID 回卷
transaction isolation	事务隔离
transaction log	事务日志
transaction snapshot	事务快照
Transformation	转换
transition relations	过渡关系
transition tables	过渡表
trusted	受信任的
trigger	触发器
Trigrams	三字符组
tuple	元组
tuple identifier	元组标识符
Tuples	元组
two-phase commit	两阶段提交
two-phase in-memory hash join	两阶段内存哈希连接
txid	事务 ID
txid wraparound	事务 ID 回卷
type categories	类型分类
typed table	类型化表
unbundling	分拆
UNDO log	撤销日志
unlogged	不记录 WAL
unpinned	未钉住
unqualified names	非限定名
update rules	更新规则
usage patterns	使用模式
user mapping	用户映射
VACUUM	清理
vacuum processing	清理过程
valid bit	有效位
Value Insertion	插入值
VALUES clause	VALUES 子句
Version vectors	版本向量
victim page	牺牲页面
view	视图
Virtual Transactions	虚拟事务
Visibility Check	可见性检查
visibility check rules	可见性检查规则
visibility map	可见性映射
VM	可见性映射
Wait Queue	等待队列
WAL Buffer	WAL 缓冲区
wal data	WAL 数据
WAL Levels	WAL 级别
WAL Modes	WAL 模式
WAL Segment	WAL 段
WAL segment file	WAL 段文件
WAL Setup	WAL 设置
WAL Structure	WAL 结构
walreceiver	WAL 接收进程
walsender	WAL 发送进程
warm standby	温备
warm-standby	温备
window frame	窗口帧
window function	窗口函数
working table	工作表
wr-conflicts	写-读冲突
write amplification	写入放大
write skew	写偏差
write-ahead log	预写式日志
ww-conflict	写-写冲突
xlog record	XLOG 记录
